UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
LARCENY-NON VEHICLE,190011619,1/1/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,190011541,1/1/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
BURGLARY-RESIDENCE,190011032,1/1/2019,685 COOPER ST SW,303,Mechanicsville,V,33.73618,-84.39718
AGG ASSAULT,190010741,1/1/2019,728 MONROE DR NE,506,Midtown,E,33.77438,-84.37122
AGG ASSAULT,190010999,1/1/2019,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859
ROBBERY-COMMERCIAL,190012351,1/1/2019,2448 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82169,-84.35201
ROBBERY-PEDESTRIAN,190011645,1/1/2019,680 MCWILLIAMS RD SE @TULL WATER PARK,310,Lakewood,Z,33.68883,-84.36607
ROBBERY-PEDESTRIAN,190010952,1/1/2019,144 MAPLE ST NW,102,Vine City,L,33.75854,-84.40561
AGG ASSAULT,190010898,1/1/2019,599 WHITEHALL ST SW,303,Pittsburgh,V,33.74277,-84.40756
AGG ASSAULT,190010302,1/1/2019,4012 WAITS AVE SW,413,Fairburn,P,33.69257,-84.52048
AGG ASSAULT,190010679,1/1/2019,104 GRIFFIN ST NW,102,Vine City,L,33.75751,-84.41174
AGG ASSAULT,190011834,1/1/2019,3292 AMHURST DR NW,112,Collier Heights,I,33.77326,-84.49532
AGG ASSAULT,190010004,1/1/2019,135 GRIFFIN ST NW,102,Vine City,L,33.75839,-84.41115
ROBBERY-RESIDENCE,190011276,1/1/2019,201 16TH ST NW,501,Atlantic Station,E,33.79025,-84.39372
BURGLARY-NONRES,190011443,1/1/2019,1485 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.74221,-84.43621
BURGLARY-RESIDENCE,190012327,1/1/2019,285 ANDREW J HAIRSTON PL NW,102,Vine City,L,33.76239,-84.41368
BURGLARY-RESIDENCE,190011334,1/1/2019,130 LAWSHE ST SW,101,The Villages at Castleberry Hill,T,33.75069,-84.4112
BURGLARY-RESIDENCE,190012028,1/1/2019,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.70979,-84.35849
BURGLARY-RESIDENCE,190011394,1/1/2019,1240 OAKLAND DR SW,403,Oakland City,S,33.72138,-84.42733
BURGLARY-RESIDENCE,190012331,1/1/2019,820 W MARIETTA ST NW,103,English Avenue,L,33.78045,-84.41554
BURGLARY-RESIDENCE,190010580,1/1/2019,470 16TH ST NW,501,Home Park,E,33.7883,-84.40387
BURGLARY-NONRES,190012325,1/1/2019,1528 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.74302,-84.4376
LARCENY-NON VEHICLE,190010299,1/1/2019,20 BROAD ST,511,Downtown,M,33.75312,-84.39208
LARCENY-NON VEHICLE,190011858,1/1/2019,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
LARCENY-NON VEHICLE,190010138,1/1/2019,50 UPPER ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964
LARCENY-NON VEHICLE,190010845,1/1/2019,1362 BOULEVARD SE,607,Benteen Park,W,33.71744,-84.36818
LARCENY-FROM VEHICLE,190011304,1/1/2019,1690 HARBIN ROAD SW,409,Laurens Valley,R,33.70933,-84.48177
LARCENY-FROM VEHICLE,190011288,1/1/2019,641 ROSALIA ST SE,605,Grant Park,W,33.73867,-84.36653
LARCENY-FROM VEHICLE,190011191,1/1/2019,530 PIEDMONT AVE NE,509,Downtown,M,33.76909,-84.38208
LARCENY-FROM VEHICLE,190011172,1/1/2019,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.8201,-84.36481
LARCENY-FROM VEHICLE,190011151,1/1/2019,2020 HOWELL MILL RD NW @PUBLIX - HOWELL,205,Wildwood (NPU-C),C,33.81022,-84.41347
LARCENY-FROM VEHICLE,190011777,1/1/2019,3334 PEACHTREE RD NE,208,North Buckhead,B,33.84911,-84.37075
LARCENY-FROM VEHICLE,190012268,1/1/2019,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849
LARCENY-FROM VEHICLE,190011054,1/1/2019,2149 BRIAR GLEN LN SW,412,Briar Glen,P,33.69612,-84.5037
LARCENY-FROM VEHICLE,190012236,1/1/2019,1198 HOWELL MILL RD NW,207,Blandtown,D,33.78703,-84.41185
LARCENY-FROM VEHICLE,190012208,1/1/2019,574 MARIETTA ST NW,507,Downtown,M,33.76897,-84.39868
LARCENY-FROM VEHICLE,190012068,1/1/2019,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554
LARCENY-FROM VEHICLE,190010905,1/1/2019,253 TRINITY AVE SW,512,Downtown,M,33.75082,-84.39615
LARCENY-FROM VEHICLE,190010831,1/1/2019,1941 FORT VALLEY DR SW,410,Pomona Park,R,33.70204,-84.44972
LARCENY-FROM VEHICLE,190010716,1/1/2019,486 DECATUR ST SE,604,Sweet Auburn,M,33.75126,-84.37207
LARCENY-FROM VEHICLE,190010095,1/1/2019,569 EZZARD ST SE,604,Old Fourth Ward,M,33.75305,-84.36861
LARCENY-FROM VEHICLE,190010087,1/1/2019,1384 LUCILE AVE SW,401,Westview,T,33.74209,-84.43313
LARCENY-FROM VEHICLE,190010456,1/1/2019,492 LARKIN ST SW,507,Castleberry Hill,M,33.7476,-84.4037
LARCENY-FROM VEHICLE,190010579,1/1/2019,2161 COLLEGE AVE NE,610,Kirkwood,O,33.76408,-84.31645
LARCENY-FROM VEHICLE,190010365,1/1/2019,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568
LARCENY-FROM VEHICLE,190010532,1/1/2019,981 HOWELL MILL RD NW,501,Home Park,E,33.78177,-84.41058
LARCENY-FROM VEHICLE,190011331,1/1/2019,860 GLENWOOD AVE SE,605,Grant Park,W,33.74032,-84.35965
LARCENY-FROM VEHICLE,190011314,1/1/2019,1959 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7008,-84.41018
LARCENY-FROM VEHICLE,190011593,1/1/2019,1031 PONCE DE LEON AVE NE @MAJESTIC DINER,602,Poncey-Highland,N,33.77373,-84.35395
LARCENY-FROM VEHICLE,190011581,1/1/2019,558 CENTRAL AVE SW,303,Mechanicsville,V,33.73951,-84.39345
LARCENY-FROM VEHICLE,190011357,1/1/2019,746 LEXINGTON AVE SW,301,Adair Park,V,33.72443,-84.41222
LARCENY-NON VEHICLE,190011642,1/1/2019,3150 HOWELL MILL RD NW @JEWISH HOME,201,,C,33.83951,-84.42835
LARCENY-NON VEHICLE,190011948,1/1/2019,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
AUTO THEFT,190012123,1/1/2019,156 FORSYTH ST SW,512,Downtown,M,33.75017,-84.39515
AUTO THEFT,190010855,1/1/2019,17 JESSE HILL JR DR NE,510,Downtown,M,33.75445,-84.38026
AUTO THEFT,190010533,1/1/2019,2581 PIEDMONT RD NE @LINDBERGH PLAZA,211,Lindbergh/Morosgo,B,33.82561,-84.36535
AUTO THEFT,190011965,1/1/2019,1182 MERRILL AVE SW,402,Oakland City,S,33.7284,-84.42654
AUTO THEFT,190011227,1/1/2019,2685 DONALD LEE HOLLOWELL PKWY NW ,113,Brookview Heights,G,33.77736,-84.47524
ROBBERY-PEDESTRIAN,193042402,10/31/2019,241 FORSYTH ST SW @MAGIC CITY,512,Downtown,M,33.74827,-84.39732
ROBBERY-RESIDENCE,193041412,10/31/2019,2084 VERBENA ST NW,108,Penelope Neighbors,J,33.75431,-84.45512
AGG ASSAULT,193042237,10/31/2019,500 ENGLEWOOD AVE SE,305,Chosewood Park,Y,33.72246,-84.37176
AGG ASSAULT,193042394,10/31/2019,3154 CUSHMAN CIR SW,406,,I,33.74897,-84.49139
AGG ASSAULT,193041143,10/31/2019,1277 JASPER ST SW,104,Mozley Park,K,33.75271,-84.42929
BURGLARY-RESIDENCE,193041985,10/31/2019,2946 OLDKNOW DR NW,112,Collier Heights,I,33.77156,-84.48414
BURGLARY-RESIDENCE,193041862,10/31/2019,370 PEACHTREE HILLS AVE NE,211,Peachtree Hills,B,33.81841,-84.37477
BURGLARY-RESIDENCE,193041523,10/31/2019,2800 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75431,-84.4793
BURGLARY-NONRES,193040402,10/31/2019,2740 GREENBRIAR PKWY SW @GREENBRIAR VILLAGE,411,Greenbriar,R,33.68887,-84.48877
BURGLARY-NONRES,193040904,10/31/2019,309 N HIGHLAND AVE NE,602,Inman Park,N,33.76299,-84.35777
BURGLARY-RESIDENCE,193040397,10/31/2019,1516 MURPHY AVE SW,306,Sylvan Hills,X,33.71358,-84.42561
BURGLARY-RESIDENCE,193042255,10/31/2019,336 EUGENIA ST SW UNIT B ATLANTA GA 30312,303,Mechanicsville,V,33.74293,-84.39896
LARCENY-NON VEHICLE,193041482,10/31/2019,2457 MARTIN L KING JR DR NW @HIGHTOWER PLAZA,111,Harland Terrace,I,33.7523,-84.46786
LARCENY-NON VEHICLE,193041040,10/31/2019,1820 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.80548,-84.47103
LARCENY-NON VEHICLE,193041239,10/31/2019,675 PONCE DE LEON AVE NE @PONCE CITY MARKET,603,Old Fourth Ward,M,33.77299,-84.36504
LARCENY-NON VEHICLE,193041277,10/31/2019,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328
LARCENY-NON VEHICLE,193041320,10/31/2019,20 BROAD ST SW,511,Downtown,M,33.75312,-84.39208
LARCENY-NON VEHICLE,193040696,10/31/2019,3440 PEACHTREE RD NE,208,North Buckhead,B,33.85166,-84.36235
LARCENY-NON VEHICLE,193041469,10/31/2019,675 PONCE DE LEON AVE NE @PONCE CITY MARKET,603,Old Fourth Ward,M,33.77296,-84.36504
LARCENY-NON VEHICLE,193041949,10/31/2019,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409
LARCENY-NON VEHICLE,193041329,10/31/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY-NON VEHICLE,193040692,10/31/2019,2095 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.69753,-84.4084
LARCENY-NON VEHICLE,193040695,10/31/2019,3440 PEACHTREE RD NE,208,North Buckhead,B,33.85166,-84.36235
LARCENY-NON VEHICLE,193042033,10/31/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY-FROM VEHICLE,193041603,10/31/2019,351 PARK AVE SE,605,Grant Park,W,33.74496,-84.37007
LARCENY-FROM VEHICLE,193041585,10/31/2019,215 NORTH AVE NE @SAVANNAH MIDTOWN,603,Old Fourth Ward,M,33.7706,-84.38034
LARCENY-FROM VEHICLE,193040725,10/31/2019,1004 LOS ANGELES AVE NE,601,Virginia Highland,F,33.77977,-84.3582
LARCENY-FROM VEHICLE,193041838,10/31/2019,391 17TH ST NW,501,Atlantic Station,E,33.79146,-84.40053
LARCENY-FROM VEHICLE,193041865,10/31/2019,1455 ELLSWORTH INDUSTRIAL BLVD NW,103,Blandtown,D,33.79579,-84.42575
LARCENY-FROM VEHICLE,193042027,10/31/2019,2217 LARCHWOOD RD SW,405,Florida Heights,I,33.74774,-84.45926
LARCENY-FROM VEHICLE,193042084,10/31/2019,775 LAKE AVE NE ,602,Inman Park,N,33.75792,-84.36263
LARCENY-FROM VEHICLE,193042220,10/31/2019,1750 ELLSWORTH INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.80323,-84.42711
LARCENY-FROM VEHICLE,193042305,10/31/2019,1360 PEACHTREE ST NE,502,Midtown,E,33.79129,-84.38686
LARCENY-FROM VEHICLE,193042339,10/31/2019,569 EZZARD ST SE,604,Old Fourth Ward,M,33.75305,-84.36861
LARCENY-FROM VEHICLE,193041433,10/31/2019,3 YONAH DR NE,502,Ansley Park,E,33.78947,-84.38103
LARCENY-FROM VEHICLE,193041205,10/31/2019,441 SEMINOLE AVE NE,602,Inman Park,N,33.76617,-84.34942
LARCENY-FROM VEHICLE,193041395,10/31/2019,285 MARIETTA ST NW,508,Downtown,M,33.76097,-84.3951
LARCENY-FROM VEHICLE,193042428,10/31/2019,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77331,-84.40403
LARCENY-FROM VEHICLE,193040005,10/31/2019,1122 CRESCENT AVE NE,503,Midtown,E,33.78533,-84.3845
LARCENY-FROM VEHICLE,193040439,10/31/2019,860 GLENWOOD AVE SE,605,Grant Park,W,33.74032,-84.35965
LARCENY-FROM VEHICLE,193040558,10/31/2019,1960 ALISON CT SW,410,Campbellton Road,R,33.70061,-84.45299
LARCENY-FROM VEHICLE,193040626,10/31/2019,1592 S GORDON ST SW,404,Westview,T,33.73947,-84.43988
LARCENY-FROM VEHICLE,193040639,10/31/2019,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299
LARCENY-FROM VEHICLE,193040722,10/31/2019,1070 HEMPHILL AVE NW,501,Home Park,E,33.78396,-84.40589
LARCENY-FROM VEHICLE,193042522,10/31/2019,588 EZZARD ST SE,604,Old Fourth Ward,M,33.75376,-84.36801
LARCENY-FROM VEHICLE,193042593,10/31/2019,205 WALKER ST SW,507,Castleberry Hill,M,33.74941,-84.40204
LARCENY-FROM VEHICLE,193040940,10/31/2019,396 PIEDMONT AVE NE,509,Downtown,M,33.76491,-84.3826
LARCENY-FROM VEHICLE,193042351,10/31/2019,662 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75945,-84.36559
LARCENY-FROM VEHICLE,193042115,10/31/2019,6215 RENAISSANCE WAY NE,603,Old Fourth Ward,M,33.7657,-84.37879
LARCENY-FROM VEHICLE,193040188,10/31/2019,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68149,-84.37152
LARCENY-NON VEHICLE,193041901,10/31/2019,240 AMAL DR SW,307,Betmar LaVilla,Y,33.70616,-84.3953
LARCENY-NON VEHICLE,193041133,10/31/2019,54 PEACHTREE PARK DR NE,207,,E,33.81243,-84.3904
LARCENY-NON VEHICLE,193040743,10/31/2019,720 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76626,-84.36428
LARCENY-NON VEHICLE,193042405,10/31/2019,112 COURTLAND ST NE,510,Downtown,M,33.75756,-84.38434
LARCENY-NON VEHICLE,193040508,10/31/2019,828 BRIDGEWATER ST SW,306,Sylvan Hills,X,33.70262,-84.41552
LARCENY-NON VEHICLE,193041095,10/31/2019,708 SPRING ST NW,505,Midtown,E,33.77402,-84.3892
LARCENY-NON VEHICLE,193040966,10/31/2019,155 VINE ST NW,102,Vine City,L,33.7589,-84.40769
LARCENY-NON VEHICLE,193041116,10/31/2019,2411 JONESBORO RD SE,310,Browns Mill Park,Z,33.68841,-84.36512
AUTO THEFT,193042527,10/31/2019,1360 PEACHTREE ST NE,502,Midtown,E,33.79129,-84.38686
AUTO THEFT,193041823,10/31/2019,2785 HEADLAND DR SW ,411,Greenbriar,R,33.68845,-84.49328
AUTO THEFT,193041045,10/31/2019,1539 LANGSTON AVE SW,306,Sylvan Hills,X,33.71306,-84.42387
AUTO THEFT,193040839,10/31/2019,300 PETERS ST SW,507,Castleberry Hill,M,33.74651,-84.40219
AUTO THEFT,193040060,10/31/2019,165 PINE ST NW,504,Downtown,M,33.7679,-84.39236
AUTO THEFT,193032265,10/30/2019,165 PINE ST NW,504,Downtown,M,33.7679,-84.39236
AUTO THEFT,193032231,10/30/2019,3097 MAPLE DR NE,206,Buckhead Village,B,33.83977,-84.37198
AUTO THEFT,193031602,10/30/2019,3754 ROSWELL RD NE,209,East Chastain Park,B,33.85732,-84.38199
AUTO THEFT,193031363,10/30/2019,1717 CENTRA VILLA DR SW,409,Adams Park,R,33.70928,-84.45571
AUTO THEFT,193030778,10/30/2019,3480 WELCOME ALL RD SW,414,Ben Hill,P,33.66033,-84.52207
AUTO THEFT,193030529,10/30/2019,3309 RENAISSANCE WAY NE,603,Old Fourth Ward,M,33.76629,-84.37859
LARCENY-NON VEHICLE,193030364,10/30/2019,860 PEACHTREE ST NE,505,Midtown,E,33.77831,-84.38533
LARCENY-NON VEHICLE,193032116,10/30/2019,207 13TH ST NE,503,Midtown,E,33.78529,-84.38063
LARCENY-NON VEHICLE,193030906,10/30/2019,568 MAGNOLIA ST NW,102,Vine City,L,33.75794,-84.40604
LARCENY-NON VEHICLE,193031358,10/30/2019,240 NORTH AVE NE,505,Midtown,E,33.77134,-84.37932
LARCENY-NON VEHICLE,193031978,10/30/2019,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409
LARCENY-NON VEHICLE,193031980,10/30/2019,3400 STRATFORD RD NE,208,North Buckhead,B,33.84923,-84.36689
LARCENY-NON VEHICLE,193030501,10/30/2019,2982 BESTO DR NW,113,Bolton Hills,G,33.79944,-84.48517
LARCENY-NON VEHICLE,193032109,10/30/2019,3873 ROSWELL RD NE,209,North Buckhead,B,33.86022,-84.38043
LARCENY-NON VEHICLE,193030924,10/30/2019,229 PEACHTREE ST NE,509,Downtown,M,33.7604,-84.38746
LARCENY-NON VEHICLE,193031153,10/30/2019,64 THIRKELD AVE SE,305,South Atlanta,Y,33.71467,-84.38616
LARCENY-NON VEHICLE,193031129,10/30/2019,542 CITYVIEW CT NE,603,Old Fourth Ward,M,33.77083,-84.3785
LARCENY-NON VEHICLE,193030886,10/30/2019,240 NORTH AVE NE,505,Midtown,E,33.77134,-84.37932
LARCENY-FROM VEHICLE,193032115,10/30/2019,I-75 SB EXPY NW / HOWELL MILL RD NW,204,Underwood Hills,D,33.80515,-84.41333
LARCENY-FROM VEHICLE,193031023,10/30/2019,921 WESTMORELAND CIR NW,110,West Highlands,G,33.79009,-84.44969
LARCENY-FROM VEHICLE,193030801,10/30/2019,486 HILL ST SE,605,Grant Park,W,33.7415,-84.37873
LARCENY-FROM VEHICLE,193031886,10/30/2019,1600 ELLSWORTH INDUSTRIAL BLVD NW,103,Blandtown,D,33.79826,-84.42811
LARCENY-FROM VEHICLE,193032187,10/30/2019,1030 BLUE RIDGE AVE NE,602,Poncey-Highland,N,33.77252,-84.35351
LARCENY-FROM VEHICLE,193031216,10/30/2019,1750 COMMERCE DR NW,204,Berkeley Park,D,33.80174,-84.41093
LARCENY-FROM VEHICLE,193030823,10/30/2019,3RD ST NE / W PEACHTREE ST NE,505,Midtown,E,33.77346,-84.3849
LARCENY-FROM VEHICLE,193030927,10/30/2019,225 PRYOR ST SW,512,Downtown,M,33.74878,-84.3935
LARCENY-FROM VEHICLE,193030930,10/30/2019,256 MATHEWSON PL SW,104,Mozley Park,K,33.7481,-84.43613
LARCENY-FROM VEHICLE,193030655,10/30/2019,1455 ELLSWORTH INDUSTRIAL BLVD NW,103,Blandtown,D,33.79579,-84.42575
LARCENY-FROM VEHICLE,193030646,10/30/2019,733 ARGONNE AVE NE,614,Midtown,E,33.77459,-84.37744
LARCENY-FROM VEHICLE,193031310,10/30/2019,711 11TH ST NW,501,Home Park,E,33.78309,-84.41074
LARCENY-FROM VEHICLE,193031699,10/30/2019,327 NELSON ST SW,507,Castleberry Hill,M,33.75163,-84.3986
LARCENY-FROM VEHICLE,193031712,10/30/2019,19 Hilliard St NE ,604,Sweet Auburn,M,33.75437,-84.3766
LARCENY-FROM VEHICLE,193030974,10/30/2019,2048 BOLTON DR NW,204,Bolton,D,33.81405,-84.43857
LARCENY-FROM VEHICLE,193030363,10/30/2019,2885 ELLIOTT CIR NE,211,Peachtree Park,B,33.83511,-84.36531
LARCENY-FROM VEHICLE,193030757,10/30/2019,340 ALBERTA TER NE,208,Buckhead Forest,B,33.84743,-84.37945
LARCENY-FROM VEHICLE,193031545,10/30/2019,127 CENTENNIAL OLYMPIC P DR NW @SFA SAPPHIRE DECK N,507,Downtown,M,33.75737,-84.39395
LARCENY-FROM VEHICLE,193022559,10/30/2019,685 11TH ST NW,501,Home Park,E,33.78332,-84.40974
LARCENY-FROM VEHICLE,193030742,10/30/2019,3107 GARDEN WALK SW,414,Princeton Lakes,P,33.66621,-84.51347
LARCENY-FROM VEHICLE,193030203,10/30/2019,50 HURT PLZ SE,510,Downtown,M,33.75348,-84.38531
LARCENY-FROM VEHICLE,193030379,10/30/2019,1409 HOWELL MILL RD NW,207,Berkeley Park,D,33.79419,-84.4143
LARCENY-FROM VEHICLE,193030431,10/30/2019,940 WESTVIEW DR SW,104,Ashview Heights,T,33.74636,-84.41851
LARCENY-FROM VEHICLE,193030525,10/30/2019,330 W PEACHTREE ST NW @ INN AT THE PEACHTREE ST ,508,Downtown,M,33.76364,-84.38791
LARCENY-FROM VEHICLE,193030553,10/30/2019,1010 W PEACHTREE ST NW,503,Midtown,E,33.78228,-84.38822
LARCENY-FROM VEHICLE,193030136,10/30/2019,17 HILLIARD ST SE,604,Sweet Auburn,M,33.75396,-84.37671
LARCENY-FROM VEHICLE,193032306,10/30/2019,360 MARIETTA ST NW @MBS LOT G,507,Downtown,M,33.76269,-84.39702
LARCENY-FROM VEHICLE,193032299,10/30/2019,811 PEACHTREE ST NE,505,Midtown,E,33.777,-84.38386
LARCENY-FROM VEHICLE,193032017,10/30/2019,240 N HIGHLAND AVE NE ,602,Inman Park,N,33.76191,-84.36039
LARCENY-FROM VEHICLE,193032366,10/30/2019,3391 PEACHTREE RD NE @SWISS HOTEL,210,Lenox,B,33.84886,-84.36517
LARCENY-FROM VEHICLE,193031955,10/30/2019,1730 TAYLOR ST NW,204,Underwood Hills,D,33.80171,-84.42123
LARCENY-NON VEHICLE,193030726,10/30/2019,1297 JONESBORO RD SE,305,South Atlanta,Y,33.71904,-84.38515
LARCENY-NON VEHICLE,193022206,10/30/2019,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,193030875,10/30/2019,29 PEACHTREE ST SW,511,Downtown,M,33.75366,-84.39047
LARCENY-NON VEHICLE,193031509,10/30/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,193030940,10/30/2019,645 CASCADE AVENUE SW,404,Westview,T,33.73783,-84.43553
LARCENY-NON VEHICLE,193030844,10/30/2019,1003 MCDANIEL ST SW,302,Pittsburgh,V,33.72757,-84.40192
LARCENY-NON VEHICLE,193030014,10/30/2019,850 NORTHSIDE DR NW,504,Marietta Street Artery,E,33.77807,-84.40773
LARCENY-NON VEHICLE,193030586,10/30/2019,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457
LARCENY-NON VEHICLE,193032302,10/30/2019,100 6TH ST NE ,505,Midtown,E,33.77756,-84.38417
BURGLARY-NONRES,193031508,10/30/2019,2175 PIEDMONT RD NE,211,Lindridge/Martin Manor,F,33.81716,-84.36632
BURGLARY-NONRES,193030305,10/30/2019,2179 CHESHIRE BRIDGE RD NE,613,Lindridge/Martin Manor,F,33.81438,-84.35297
BURGLARY-NONRES,193030309,10/30/2019,2448 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82169,-84.35201
AGG ASSAULT,193030215,10/30/2019,2221 CAMPBELLTON RD SW,409,Adams Park,R,33.70558,-84.46103
AGG ASSAULT,193031196,10/30/2019,1619 N OLYMPIAN WAY SW,404,Westview,T,33.73647,-84.4408
AGG ASSAULT,193031969,10/30/2019,2291 HOSEA L WILLIAMS DR SE,611,Kirkwood,O,33.75077,-84.3124
BURGLARY-RESIDENCE,193031559,10/30/2019,811 JUNIPER ST NE,505,Midtown,E,33.77666,-84.38279
AGG ASSAULT,193030017,10/30/2019,2580 BENJAMIN E MAYS DR SW,406,Audobon Forest,I,33.72601,-84.47262
AGG ASSAULT,193030037,10/30/2019,633 PARKWAY DR NE,603,Midtown,E,33.77315,-84.3728
AGG ASSAULT,193030293,10/30/2019,164 10TH ST NW,504,Georgia Tech,E,33.78144,-84.39154
AGG ASSAULT,193031269,10/30/2019,3378 GREENBRIAR PKWY SW ,413,,P,33.68299,-84.50129
AGG ASSAULT,193032226,10/30/2019,2240 CASCADE RD SW,409,Adams Park,R,33.72226,-84.46181
ROBBERY-COMMERCIAL,193032079,10/30/2019,2608 METROPOLITAN PKWY SW,309,Perkerson,X,33.68379,-84.40722
ROBBERY-PEDESTRIAN,193021235,10/29/2019,310 WINDSOR  ST,512,Castleberry Hill,M,33.74682,-84.39803
HOMICIDE,193021932,10/29/2019,1790 WILLIS MILL RD SW,409,Adams Park,R,33.70694,-84.46872
ROBBERY-RESIDENCE,193022315,10/29/2019,490 ANGIER AVE NE,603,Old Fourth Ward,M,33.7665,-84.37113
AGG ASSAULT,193022488,10/29/2019,875 MARTIN L KING JR DR NW,102,Vine City,L,33.75497,-84.41604
AGG ASSAULT,193022200,10/29/2019,1593 SANDTOWN RD SW,408,Venetian Hills,S,33.71502,-84.44065
AGG ASSAULT,193020801,10/29/2019,898 WASHINGTON ST SW,304,Peoplestown,V,33.73033,-84.39064
BURGLARY-RESIDENCE,193021888,10/29/2019,1150 COLLIER RD NW,204,Underwood Hills,D,33.81119,-84.4249
AGG ASSAULT,193020870,10/29/2019,2260 LAVISTA SQ NE,212,Lindridge/Martin Manor,F,33.81661,-84.34948
BURGLARY-NONRES,193021447,10/29/2019,2175 PIEDMONT RD NE,211,Lindridge/Martin Manor,F,33.81716,-84.36632
BURGLARY-RESIDENCE,193021003,10/29/2019,2380 FAIRWAY CIR SW,413,Fairway Acres,P,33.68903,-84.53749
LARCENY-NON VEHICLE,193020954,10/29/2019,634 WHITEHALL ST SW,303,Adair Park,V,33.74179,-84.40844
LARCENY-NON VEHICLE,193021364,10/29/2019,2325 CHESHIRE BRIDGE RD NE @PUBLIX - CHESHIRE,212,Lindridge/Martin Manor,F,33.81866,-84.34906
BURGLARY-RESIDENCE,193021021,10/29/2019,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671
BURGLARY-RESIDENCE,193022143,10/29/2019,1887 PENELOPE RD NW,108,Penelope Neighbors,J,33.7541,-84.44896
LARCENY-NON VEHICLE,193022418,10/29/2019,1801 HOWELL MILL RD,204,Underwood Hills,D,33.80471,-84.41361
LARCENY-NON VEHICLE,193022438,10/29/2019,556 NORTHSIDE DR SW,303,Pittsburgh,V,33.74007,-84.40778
LARCENY-NON VEHICLE,193022214,10/29/2019,543 ROCKWELL ST SW,302,Pittsburgh,V,33.73207,-84.40541
LARCENY-NON VEHICLE,193022165,10/29/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY-NON VEHICLE,193020540,10/29/2019,2989 CAMPBELLTON RD SW,409,Southwest,R,33.69655,-84.48597
LARCENY-NON VEHICLE,193020041,10/29/2019,235 PEACHTREE ST NE @ATL GAS LIGHT TOWER,509,Downtown,M,33.76044,-84.38702
LARCENY-NON VEHICLE,193020207,10/29/2019,655 CLEVELAND AVE SW,309,Perkerson,X,33.6824,-84.41029
LARCENY-NON VEHICLE,193012019,10/29/2019,1801 HOWELL MILL,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-NON VEHICLE,193020716,10/29/2019,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521
LARCENY-NON VEHICLE,193022001,10/29/2019,232 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73664,-84.39553
LARCENY-NON VEHICLE,193021860,10/29/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,193022392,10/29/2019,1801 HOWELL MILL RD,204,Underwood Hills,D,33.80471,-84.41361
